priority,index,name,namespace,tier,dev_calls_biased,schema_bytes,description,rationale
3,60,wp_post_delete,wp-cli,2,9,1067,"Delete a WordPress post, page, or custom post type by ID. Works on local sites (site=), remote WPE installs via SSH (install_name=), and external SSH hosts (ssh_target=). Default (force=false) moves to trash — recoverable from WP Admin. Set force=true to permanently delete, bypassing trash.",
2,61,wp_eval,wp-cli,2,3601,1905,"LAST RESORT — execute arbitrary PHP code in a WordPress context. Use this ONLY when no dedicated tool exists for the operation. Before reaching for wp_eval, check whether these cover your need: wp_post_create / wp_post_update / wp_post_delete (content), wp_plugin_install / wp_plugin_update / wp_plugin_activate (plugins), wp_theme_activate (theme switching, including crash recovery), wp_option_get / wp_search_replace (options/data), wp_core_update / wp_core_version (WordPress core). Works on local sites (site=), remote WPE installs via SSH (install_name=), and external SSH hosts (ssh_target=), though eval is blocked on remote targets by policy. Use skip_themes=true when the active theme crashes WordPress on bootstrap (e.g. theme requires newer WP API). Use skip_plugins=true when a plugin conflict prevents WordPress from loading.",
2,62,wpe_get_accounts,wpe,1,54,368,"List all WP Engine accounts the authenticated user has access to. Returns account ID, name, and creation date. Account IDs are required as input for most other wpe_* tools. Run this first if you do not know the account_id, or use nexus_list_sites for a unified local+WPE view.",
2,63,wpe_get_account,wpe,1,0,434,"Get details for a single WP Engine account — name, ID, creation date, and plan information. Use wpe_get_accounts first to list available accounts and their IDs. For a higher-level overview, use wpe_account_overview.",
2,64,wpe_get_account_limits,wpe,1,2,551,"Get the plan limits for a WP Engine account — visitor quotas, storage caps, bandwidth limits, and site/install counts. Use to understand capacity constraints before creating new installs or sites. Compare with wpe_get_account_usage_summary to see current consumption vs limits.Use this to answer ""am I near my plan limits?""",
3,65,wpe_get_account_usage_summary,wpe,1,1,698,"Get aggregate usage metrics for a WP Engine account — total visits, bandwidth consumed, and storage used, summed across all installs. Month defaults to current (0). Use month=1 for last month. Compare with wpe_get_account_limits to see consumption vs plan capacity. For per-install breakdown, use wpe_get_install_usage.More detailed than wpe_get_account_usage.",account admin reads; quarterly cadence (JTBD 11)
3,66,wpe_get_account_usage_insights,wpe,1,0,677,"Get usage metrics broken down by environment type (production, staging, development) for a WP Engine account. Useful for understanding which environment tier is consuming the most resources. Month defaults to current (0). For total account usage, use wpe_get_account_usage_summary. For individual install usage, use wpe_get_install_usage.",account admin reads; quarterly cadence (JTBD 11)
3,67,wpe_get_account_users,wpe,1,0,642,"List all users who have access to a WP Engine account portal — name, email, and role (full/billing/partial). Use for access audits or to find the user_id needed for wpe_update_account_user or wpe_delete_account_user. For a cross-account user audit, use wpe_user_audit instead.These are WP Engine account-level users (portal login), NOT WordPress site users. For WordPress users within a site use wp_user_list instead.",account admin reads; quarterly cadence (JTBD 11)
3,68,wpe_get_account_user,wpe,1,0,512,"Get details for a specific WP Engine portal user — name, email, role, and install access. Requires both account_id and user_id. Use wpe_get_account_users to find the user_id if unknown.",account admin reads; quarterly cadence (JTBD 11)
4,69,wpe_create_account_user,wpe,3,0,923,"Add a new user to a WP Engine account, granting portal access. Role options: full (complete access), billing (billing only), partial (specific installs only — requires install_ids). An invitation email is sent to the user. Use wpe_get_account_users to confirm the user was added successfully.",
4,70,wpe_update_account_user,wpe,3,0,727,"Update the role of an existing WP Engine portal user on an account. Role options: full, billing, or partial (partial requires install_ids to specify access). Use wpe_get_account_users to find the user_id and confirm current role before updating.",
4,71,wpe_delete_account_user,wpe,3,0,771,"Tier 3 (destructive) — remove a user from a WP Engine account, revoking all portal access. Requires confirmation token. This does NOT delete the user WP Engine account — only removes their access to this account. Use wpe_get_account_users to find the user_id and confirm before removing.Tier 3 — requires confirmation.",
1,72,wpe_get_installs,wpe,1,10660,440,"List all WP Engine installs (environments) accessible to the authenticated user. An install is a single environment: production, staging, or development. Optionally filter by account_id. Returns install name, ID, environment type, and primary domain. The install name (e.g. mysite) is used as install_name in wp_* tools for remote WP-CLI execution.","10,660 dev calls; WPE inventory"
1,73,wpe_get_install,wpe,1,39,428,"Get full details about a specific WP Engine install — name, environment type, primary domain, PHP version, and site association. Use wpe_get_installs to find the install_id. For a quick combined view including local links, use nexus_list_sites.",per-install read
1,74,wpe_create_backup,wpe,2,7,554,Create a WP Engine backup checkpoint for an install. Returns a backup_id — use wpe_get_backup to poll completion status. Always create a backup before wpe_promote_environment or any destructive operation. Use wpe_backup_and_verify for a blocking call that waits until the backup is confirmed complete.,pre-update backup (JTBD 2)
2,75,wpe_purge_cache,wpe,2,11,494,"Purge the page cache for a WP Engine install — forces all cached pages to regenerate on next request. Use after deploying content changes, plugin updates, or switching themes to ensure visitors see fresh content. Cache purge is near-instant but a full cache warm-up takes time as pages are re-cached on demand.",
1,76,local_wpe_link,local,1,224,520,Check whether a local site is linked to a WP Engine install. A link enables local_wpe_pull and local_wpe_push between the two environments. Read-only — does not create or modify links. To link a site: use Local's Connect UI or provide remote_install_id when calling local_wpe_pull. Use nexus_list_sites to see all linked pairs at a glance.,links local clone to install; enables the loop
1,77,local_wpe_pull,local,2,103,1495,"Pull a WP Engine environment down to a local site (files + optionally database). PREREQUISITES: (1) local site must already exist — use local_create_site if not; (2) local site must be running — use local_start_site; (3) site must be linked to a WPE install, OR provide remote_install_id. DESTRUCTIVE: overwrites the local site's files (and database if include_database=true). Run local_export_site BEFORE this if the user wants a backup of the local state. include_database defaults to false — set true for a full environment pull (recommended). Set database_only=true to pull ONLY the database with no file sync — use this when files are already in sync and you just need fresh content/data. ASYNC: returns immediately. Poll local_operation_status every 20s until complete. Typically takes 1–5 minutes depending on site size.",pull prod to local clone: the safe-update pre-flight
2,78,local_wpe_push,local,3,2,1028,"Tier 3 (destructive) — push a local site to WP Engine, overwriting the live environment. PREREQUISITES: (1) always pull first (local_wpe_pull) to ensure local copy is current; (2) run wp_site_health to confirm no regressions; (3) confirm user understands this overwrites the live WPE environment — no automatic rollback. include_database defaults to false — set true to also push the database. ASYNC: returns immediately. Poll local_operation_status every 20s until complete. WPE keeps backups in the portal (my.wpengine.com) if rollback is needed.",
1,79,nexus_list_sites,nexus,1,106,511,"Unified site discovery — lists all local sites and WP Engine environments in a single view, marking linked pairs with ↔. The FIRST tool to call before any workflow involving sites. Returns: local site IDs (used as site= in wp_* tools), WPE install names/IDs (used as remote_install_id= in local_wpe_pull/local_wpe_push — both name and UUID accepted). Never ask the user for a site name or ID — discover them here first.",inventory read
2,80,local_get_site_changes,local,2,7,750,"Show which files differ between a local site and its linked WP Engine environment — runs an rsync dry-run diff to identify additions, modifications, and deletions. Use before local_wpe_push to understand exactly what will change on the live site. This is a comparison tool only — it makes no changes. Does NOT provide file sizes or storage info — use wpe_get_install_usage for that. The local site must be linked to a WPE install — check with local_wpe_link.",
3,81,local_get_sync_history,local,1,7,524,"Get the history of push and pull sync operations for a local site linked to WPE — shows operation type, timestamp, and status for recent syncs. Use to audit when a site was last synced, or to verify that a push or pull completed successfully.",
1,82,wpe_status,wpe,1,4,409,"Check whether the current WP Engine OAuth session is valid. Validates the token against the live API — returns authenticated user details if valid, or an error if the session has expired. Run this before any wpe_* operation if you are unsure whether auth is current. Re-authenticate with wpe_login if this returns an error.",WPE connectivity read
2,83,wpe_login,wpe,1,0,447,"Authenticate with WP Engine via OAuth — opens a browser window for the user to log in. The user must complete login in their browser; this tool waits up to 2 minutes. Run wpe_status first to check if already authenticated. After successful login, all wpe_* tools will work. Authentication persists across sessions until the token expires or wpe_logout is called.",
2,84,wpe_logout,wpe,2,0,313,"Log out of WP Engine by revoking the current OAuth session. After logout, all wpe_* API calls will fail until wpe_login is called again. Use when switching accounts or when prompted to re-authenticate after a permission change.",
3,85,wpe_get_install_usage,wpe,1,0,655,"Get visit, bandwidth, and storage consumption metrics for a specific WP Engine install. Month defaults to current (0), use month=1 for last month. Use for chargebacks, monitoring, or identifying high-traffic installs. For account-level totals, use wpe_get_account_usage_summary. For traffic tiers across the full fleet, use wpe_fleet_health.",account admin reads; quarterly cadence (JTBD 11)
3,86,wpe_get_account_usage,wpe,1,1,394,"Get account-level bandwidth, storage, and visitor usage for a WP Engine account.",account admin reads; quarterly cadence (JTBD 11)
3,87,wpe_portfolio_usage,wpe,1,0,1017,"Get aggregated visit, bandwidth, and storage metrics across all WP Engine installs in all accounts. Use for total fleet consumption reporting, identifying high-traffic installs, or billing analysis. Month defaults to current (0), use month=1 for last month. For a single account, use wpe_get_account_usage_summary.in a single efficient operation (one API call per account, not per install). Use this for questions like ""which sites get the most traffic?"", ""filter installs with more than N visits per day"", or ""what are my highest-bandwidth environments?"". Results are sorted by total visits descending. Use month_offset to query previous months (0 = current, 1 = last month).",account admin reads; quarterly cadence (JTBD 11)
